16:59:15.222 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:59:15.222 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 126 ms
16:59:15.264 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
16:59:15.267 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:59:15.268 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
16:59:15.270 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Started LabSpringbootDummyApplication in 0.2 seconds (JVM running for 56.476)
16:59:15.271 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [InitialApplication] BBB
16:59:15.271 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [properties.name] internal
16:59:15.272 [restartedMain] INFO  o.s.b.d.a.ConditionEvaluationDeltaLoggingListener - Condition evaluation unchanged
16:59:18.792 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Starting LabSpringbootDummyApplication using Java 11.0.12 on pc1 with PID 23412 (C:\Users\rojar\eclipse-workspace\lab-springboot-dummy\bin\main started by rojar in C:\Users\rojar\eclipse-workspace\lab-springboot-dummy)
16:59:18.792 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - No active profile set, falling back to default profiles: default
16:59:18.822 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
16:59:18.822 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
16:59:19.381 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
16:59:19.387 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
16:59:19.388 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
16:59:19.388 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
16:59:19.424 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
16:59:19.425 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 601 ms
16:59:19.621 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
16:59:19.629 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
16:59:19.640 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
16:59:19.646 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Started LabSpringbootDummyApplication in 1.147 seconds (JVM running for 1.738)
16:59:19.648 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [InitialApplication] BBB
16:59:19.648 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [properties.name] internal
17:00:35.267 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Starting LabSpringbootDummyApplication using Java 11.0.12 on pc1 with PID 3484 (C:\Users\rojar\eclipse-workspace\lab-springboot-dummy\bin\main started by rojar in C:\Users\rojar\eclipse-workspace\lab-springboot-dummy)
17:00:35.267 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - No active profile set, falling back to default profiles: default
17:00:35.294 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
17:00:35.294 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
17:00:35.860 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
17:00:35.866 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
17:00:35.867 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
17:00:35.867 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
17:00:35.899 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:00:35.899 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 605 ms
17:00:36.098 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
17:00:36.105 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
17:00:36.116 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
17:00:36.121 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Started LabSpringbootDummyApplication in 1.142 seconds (JVM running for 1.772)
17:00:36.122 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [InitialApplication] BBB
17:00:36.122 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [properties.name] internal
17:00:47.129 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Starting LabSpringbootDummyApplication using Java 11.0.12 on pc1 with PID 44892 (C:\Users\rojar\eclipse-workspace\lab-springboot-dummy\bin\main started by rojar in C:\Users\rojar\eclipse-workspace\lab-springboot-dummy)
17:00:47.130 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - No active profile set, falling back to default profiles: default
17:00:47.158 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - Devtools property defaults active! Set 'spring.devtools.add-properties' to 'false' to disable
17:00:47.158 [restartedMain] INFO  o.s.b.d.env.DevToolsPropertyDefaultsPostProcessor - For additional web related logging consider setting the 'logging.level.web' property to 'DEBUG'
17:00:47.723 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat initialized with port(s): 8080 (http)
17:00:47.730 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Initializing ProtocolHandler ["http-nio-8080"]
17:00:47.731 [restartedMain] INFO  org.apache.catalina.core.StandardService - Starting service [Tomcat]
17:00:47.731 [restartedMain] INFO  org.apache.catalina.core.StandardEngine - Starting Servlet engine: [Apache Tomcat/9.0.55]
17:00:47.766 [restartedMain] INFO  o.a.c.core.ContainerBase.[Tomcat].[localhost].[/] - Initializing Spring embedded WebApplicationContext
17:00:47.766 [restartedMain] INFO  o.s.b.w.s.c.ServletWebServerApplicationContext - Root WebApplicationContext: initialization completed in 608 ms
17:00:47.984 [restartedMain] INFO  o.s.b.d.autoconfigure.OptionalLiveReloadServer - LiveReload server is running on port 35729
17:00:47.994 [restartedMain] INFO  org.apache.coyote.http11.Http11NioProtocol - Starting ProtocolHandler ["http-nio-8080"]
17:00:48.006 [restartedMain] INFO  o.s.boot.web.embedded.tomcat.TomcatWebServer - Tomcat started on port(s): 8080 (http) with context path ''
17:00:48.012 [restartedMain] INFO  lab.springboot.dummy.LabSpringbootDummyApplication - Started LabSpringbootDummyApplication in 1.162 seconds (JVM running for 1.729)
17:00:48.013 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [InitialApplication] AAA
17:00:48.013 [restartedMain] INFO  lab.springboot.dummy.InitialApplication - [properties.name] internal
